,author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
216,real_estate_agent,Москва,4,17,1,38.0,13000000,2014,18.0,8.0,Южнопортовый,2-й Южнопортовый проезд,Кожуховская,342105.26
217,realtor,Москва,3,17,1,35.0,10450000,2012,15.0,9.2,Ново-Переделкино,Лукинская ,Переделкино,298571.43
218,real_estate_agent,Москва,1,14,2,55.0,13900000,2005,25.0,12.0,Метрогородок,Открытое шоссе,Бульвар Рокоссовского,252727.27
219,homeowner,Москва,5,10,1,40.4,28900000,2014,21.5,8.2,Дорогомилово,Кутузовский проспект,Кутузовская,715346.53
220,developer,Москва,6,50,1,49.3,25621210,2027,14.1,17.9,Раменки,м. Мичуринский проспект,Мичуринский проспект,519700.0
221,real_estate_agent,Москва,2,14,4,90.9,23100000,2008,62.0,10.2,Западное Дегунино,Коровинское шоссе,Селигерская,254125.41
222,developer,Москва,10,13,3,79.9,39039140,2024,34.2,22.8,Хорошево-Мневники,Жилой комплекс остров,Терехово ,488600.0
223,homeowner,Москва,5,5,1,34.0,11000000,1959,18.0,8.0,Коптево, Генерала Рычагова,Коптево,323529.41
224,realtor,Москва,12,17,2,71.0,17900000,2022,40.0,17.0,Москва, Никитина,Рассказовка,252112.68
225,real_estate_agent,Москва,5,38,1,39.8,20500000,2024,15.7,9.7,Останкинский, Вильгельма Пика,Улица Сергея Эйзенштейна,515075.38
226,realtor,Москва,6,9,1,32.4,11500000,1979,20.0,6.7,Котловка,Севастопольский проспект,Крымская,354938.27
227,real_estate_agent,Москва,20,36,4,122.6,58700000,2023,72.0,20.0,Беговой,Ленинградский проспект,Динамо,478792.82
228,homeowner,Москва,5,22,1,33.7,13900000,2007,15.5,10.5,Хорошево-Мневники, Маршала Тухачевского,Народное Ополчение,412462.91
229,real_estate_agent,Москва,11,15,5,180.0,79990000,2006,160.0,15.0,Раменки, Пырьева,Поклонная,444388.89
230,developer,Москва,2,33,1,35.8,12542530,2027,23.1,5.9,Текстильщики,1-й Грайвороновский проезд,Новохохловская,350350.0
231,realtor,Москва,21,31,2,55.7,21990000,2020,27.2,10.6,Богородское,Тюменский проезд,Бульвар Рокоссовского,394793.54
232,realtor,Москва,19,21,3,92.0,65000000,2014,70.0,15.0,Раменки,Мосфильмовская ,Раменки,706521.74
233,realtor,Москва,2,12,1,41.0,11700000,1960,21.0,10.0,Соколиная гора,Вольная ,Семёновская,285365.85
234,real_estate_agent,Москва,3,4,5,211.5,94900000,2003,128.0,12.0,Крылатское,Островной проезд,Молодёжная,448699.76
235,realtor,Москва,17,17,3,74.0,18200000,1993,50.0,10.0,Митино, Барышиха,Пятницкое шоссе,245945.95
236,real_estate_agent,Москва,5,7,1,34.6,9000000,1978,18.0,8.0,Северное Измайлово,15-я Парковая ,Щёлковская,260115.61
237,real_estate_agent,Москва,2,16,4,118.6,41900000,2003,75.0,22.0,Обручевский, Островитянова,Университет Дружбы Народов,353288.36
238,realtor,Москва,9,17,2,50.0,13600000,1984,30.2,8.3,Лосиноостровский, Малыгина,Медведково,272000.0
239,real_estate_agent,Москва,5,5,1,32.1,8999000,1959,18.0,6.0,Перово, Металлургов,Перово,280342.68
240,real_estate_agent,Москва,11,23,2,57.3,20000000,2023,33.5,10.0,Донской,Севастопольский проспект,Крымская,349040.14
241,real_estate_agent,Москва,3,28,4,125.0,74990000,2014,77.677589142172,30.0,Якиманка,Мытная ,Октябрьская,599920.0
242,unknown,Москва,5,27,1,37.0,22300000,2019,15.857594584410549,8.0,Лефортово,проезд Невельского,Авиамоторная,602702.7
243,homeowner,Москва,2,8,3,72.2,23000000,2014,41.0927662435202,8.3,Бутырский, Руставели,Дмитровская,318559.56
244,realtor,Москва,12,16,1,44.0,26296000,2023,15.0,19.0,Раменки,проспект Генерала Дорохова,Минская,597636.36
245,real_estate_agent,Москва,5,6,1,43.0,26900000,2014,21.842842247174445,10.1,Беговой, 3-я Ямского Поля,Белорусская,625581.4
246,realtor,Москва,7,9,1,32.0,12950000,1962,21.0,7.0,Савеловский,Бутырская ,Дмитровская,404687.5
247,real_estate_agent,Москва,5,10,4,91.3,24999999,2000,63.6,10.2,Ховрино,Зеленоградская ,Грачёвская,273822.55
248,real_estate_agent,Москва,22,22,3,93.5,33000000,2023,60.0,25.0,Хорошевский,1-я Магистральная ,Хорошёвская,352941.18
249,real_estate_agent,Москва,7,9,1,31.7,11300000,1964,21.4,5.1,Зюзино, Каховка,Каховская,356466.88
250,real_estate_agent,Москва,4,16,1,47.8,22000000,2024,16.4,18.6,Хорошево-Мневники,Жилой комплекс остров,Терехово ,460251.05
251,realtor,Москва,2,9,1,31.8,11990000,1962,21.5,5.2,Кунцево,Ельнинская ,Молодёжная,377044.03
252,realtor,Москва,9,9,2,51.0,13750000,1970,30.0,6.0,Чертаново Центральное,Днепропетровская ,Южная,269607.84
253,real_estate_agent,Москва,6,7,4,127.0,67000000,1902,71.1,9.8,Тверской,Тверская ,Маяковская,527559.06
254,developer,Москва,2,27,1,45.7,21798900,2026,26.8,7.8,Басманный, Фридриха Энгельса,Бауманская,477000.0
255,real_estate_agent,Москва,5,5,2,65.0,8500000,2016,37.0,13.0,Кострома,Мясницкая ,Москва,130769.23
256,unknown,Москва,16,41,2,51.0,34000000,2023,21.0,17.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,666666.67
257,realtor,Москва,15,28,2,64.5,49000000,2022,37.0,19.0,Раменки,Винницкая ,Раменки,759689.92
