,author_type,location,floor,floors_count,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,district,street,underground,price_per_meter
617,realtor,Кубинка,5,9,3,61.8,7400000,1998,38.5,10.0,Большие Вяземы рп,Можайское шоссе,Кубинка,119741.1
620,realtor,Кубинка,3,16,1,35.0,7300000,1992,19.0,10.0,Кубинка,проспект Пацаева,Водники,208571.43
621,unknown,Кубинка,4,5,1,30.0,5649000,1972,19.0,6.0,Кубинка,Комитетская ,Медведково,188300.0
623,realtor,Кубинка,1,5,2,40.0,6400000,2014,28.0,6.0,Кубинка, Железнякова,Водники,160000.0
624,real_estate_agent,Кубинка,1,5,2,40.6,5500000,1976,25.81771316740614,6.0,Кубинка,Октябрьская ,Ботанический сад,135467.98
625,real_estate_agent,Кубинка,2,3,2,41.8,5499999,1930,29.0,6.0,Кубинка,Спортивная ,Салтыковская,131578.92
627,real_estate_agent,Кубинка,4,4,2,42.0,5600000,1965,29.0,22.0,Кубинка,Станционная ,Медведково,133333.33
629,realtor,Кубинка,4,9,1,32.3,7200000,1968,21.5,6.0,Кубинка, Калинина,Реутов,222910.22
631,real_estate_agent,Кубинка,5,9,1,33.4,6900000,2014,19.3,6.0,Кубинка,Новая ,Реутов,206586.83
632,real_estate_agent,Кубинка,5,16,1,41.0,6300000,2015,16.2,12.2,Кубинка, Брагина,Кучино,153658.54
